clinic,city,address,phone,website,rating,reviews,status
"Tannlege Raymond de Freitas AS","Trondheim","Carl Johans gate 3, 7010 Trondheim","73 52 77 44","","5","2","new"
"Sentral Dental AS","Trondheim","Fosenkaia 3, 7010 Trondheim","73 53 45 36","http://www.sentraldental.no/index.php/kontakt-oss","4.9","21","new"
"Tannlege Wiggo Randers AS","Trondheim","Sandgata 26A, 7012 Trondheim","73 52 48 68","","5","2","new"
"Tannlege Randi Rian Five","Trondheim","Dronningens gate 23, 7012 Trondheim","73 52 08 75","","5","1","new"
"Abelgården Tannklinikk AS","Trondheim","Falkenborgvegen 35 C, 2 etasje, 7044 Trondheim","73 53 28 16","https://abelgardentannklinikk.no/","4.5","17","new"
"Tannlege Arne-Henrik Finnanger","Trondheim","Jakobslivegen 1, 7058 Jakobsli","92 11 01 02","http://www.tannlege-finnanger.no/","5","1","new"
"Tannlege Hanne Bach","Trondheim","Olav Tryggvasons gt. 24, 7011 Trondheim","73 52 87 44","http://www.abc-tannklinikken.no/","5","1","new"
"Tannlege Hanne Marita Spissøy","Trondheim","Carl Johans gate 3, 7010 Trondheim","73 53 03 15","","4.8","4","new"
"Nordre Tannhelse","Trondheim","Nordre gate 12, 7011 Trondheim","73 84 13 20","","5","3","new"
"Angelltrøa tannklinikk v/Jan Olav Nilsen","Trondheim","Granåsvegen 33, 7048 Trondheim","73 91 67 90","https://www.angelltann.no/","5","8","new"
"Lars Husby","Trondheim","Gjelvangveita 9, 7010 Trondheim","73 52 99 55","","5","1","new"
"Valentinlyst Tannlegekontor","Trondheim","Anders Estenstads veg 14, 7046 Trondheim","73 91 13 13","https://valentinlysttannlegekontor.no/","3.2","15","new"
"Terje Wold AS","Trondheim","Olav Tryggvasons gt. 24, 7011 Trondheim","73 52 07 97","","5","1","new"
"Tore Bjørndal Ulstein Tannlege","Trondheim","Falkenborgvegen 35C, 7044 Trondheim","73 53 28 16","https://tannlege.nu/trondheim/tannlege-tore-bjorndal-ulstein/","5","3","new"
"Tannlegeklinikken tre Kronor","Trondheim","Olav Tryggvasons gt. 24, 7011 Trondheim","73 52 52 21","https://www.trekronor.no/","4.8","5","new"
"Ranheim tannklinikk","Trondheim","Ranheimsvegen 172, 7055 Ranheim","74 17 58 88","","4.3","9","new"
"Leüthenhaven P-hus","Trondheim","Erling Skakkes gate, 7012 Trondheim","73 10 98 80","http://trondheimparkering.no/","3.7","216","new"
"Tannlege Øvrelid","Trondheim","Olav Tryggvasons gt. 24, 7011 Trondheim","73 80 95 30","http://tannlegeovrelid.no/","4.3","6","new"
"Eliassen Tannhelse - Tannlege Trondheim","Trondheim","Olav Tryggvasons gt. 24, 7011 Trondheim","72 60 60 30","","","","new"
"Tannlege Trond Holstad AS Tannregulering","Trondheim","Kongens gate 30, 7012 Trondheim","73 50 50 23","","4","16","new"
"Tannlegegården","Trondheim","Sandgata 26A, 7012 Trondheim","73 89 98 00","","3","2","new"
"Tanngarden","Trondheim","Prinsens gt. 41, 7012 Trondheim","","","4","1","new"
"Tannlege Anne Kathrine Lehn","Trondheim","Olav Tryggvasons gt. 24, 7011 Trondheim","72 60 60 30","","","","new"
"Kjeveortoped Brusveen AS","Trondheim","Kongens gate 30, 7012 Trondheim","73 52 14 17","http://kjeveortoped-brusveen.no/","3.5","11","new"
"Tannlege Leif Henrik Borge Olsen AS","Trondheim","Skavlans veg 26, 7022 Trondheim","95 88 89 77","","","","new"
"Tannreg AS","Trondheim","Mellomveien 2A, 7067 Trondheim","73 52 54 88","","1","6","new"
"Thorleif Weie","Trondheim","Mellomveien 1, 7042 Trondheim","95 23 67 15","","","","new"
"Kjell Tannlege Ulsund AS","Trondheim","Nedre Bakklandet 58C, 7014 Trondheim","73 56 88 00","","","","new"
"Apollonia Tannlegesenter","Stavanger","Klubbgata 2B, 4013 Stavanger","95 98 68 56","https://apolloniadental.no/","5","6","new"
